brand,color,desc,retailPrice,title
ASOS DESIGN,mocha,Midi dress by ASOS DESIGN     Your new favorite dress    V-neckRibbed cups     Double straps     Slim fitClose-fitting cut,11.7,ASOS DESIGN rib double cup strappy cami midi dress in mocha
ASOS DESIGN,black,Maxi dress by ASOS DESIGN    Add-to-bag material Scoop neck Fixed straps Gathered elasticized backRelaxed fit Loose cut ,28,ASOS DESIGN scoop maxi dress with ruched back in black
ASOS DESIGN,white,Mini dress by ASOS DESIGN    In case of warm weather Gathered neck Fixed straps Regular fit True to size ,20.8,ASOS DESIGN gathered neck strappy mini sundress in white
Luxe Palm,watercolor,Dress by Luxe Palm    Dreaming of the beachWatercolour print Crew neckLong sleevesTie hemBody-Conscious fitFigure-hugging cut,28.5,Luxe Palm mesh beach dress in watercolor print
ASOS DESIGN,black,Mini dress by ASOS DESIGN    The scroll is overV-neck Cami strapsAdjustable tie waistPleated skirtRegular fitTrue to size,16,ASOS DESIGN pleated cami mini dress with drawstring waist in black
Luxe Palm,orange tie dye,Dress by Luxe Palm    Dreaming of the beachTie-dye print Crew neckShort sleevesTie cuffs Body-Conscious fitFigure-hugging cut,28.5,Luxe Palm mesh beach dress with ruched detail in orange tie dye
Influence,brown,Dress by Influence    Still not over leopard printV-neckFlutter sleevesTie front Regular fit ,35,Influence tie front maxi dress in leopard print
ASOS DESIGN,gingham,"Mini dress by ASOS DESIGN    Cute dressAll-over gingham printV-neckPartial button placketShirred, stretch waistTiered skirtRegular fitTrue to size",28.8,ASOS DESIGN shirred waist button front tiered mini sundress in crinkle in gingham
Influence,black/white,Dress by Influence    Add-to-bag materialDot printV-neckAngel sleevesRegular fit,32,Influence mini dress in black and white spot
ASOS DESIGN,rose,Mini dress by ASOS DESIGN    Dress for the weather you want V-neckTie shoulder strapsV-backSmock styleRelaxed fitSlouchy cut Exclusive to ASOS,17.6,ASOS DESIGN bunny tie shoulder mini smock dress in rose
ASOS DESIGN,white,Mini dress by ASOS DESIGN    The scroll is over    Square neck    Frill sleeves    Smock style    Regular fitTrue to size,28.8,ASOS DESIGN broderie babydoll mini dress with square neck and short ruffle sleeve in white
ASOS DESIGN,khaki,"Mini dress by ASOS DESIGN    Dress for the weather you want Plunge neck Gathered sleevesShirred, stretch bodicePartial button placketTiered hem Regular fit True to size ",28.8,ASOS DESIGN shirred waist button front tiered mini sundress in crinkle in khaki
ASOS DESIGN,animal print,"Midi dress by ASOS DESIGN    Part of our responsible editAll-over animal printSquare neckSleeveless styleShirred, stretch bodice and strapsTiered skirtRuffle trimsRegular fitTrue to size",34.4,ASOS DESIGN cami midi sundress with raw edges in animal print
sister jane,blues,Midi dress by sister jane     Your new favorite dress     V-neck    Puff sleeves    Elasticated cuffsRuffle details     Tie waist     Tiered skirt Regular fitTrue to size,124.65,Dream Sister Jane midi dress with tiered skirt and ruffle sleeves in blue floral jacquard
sister jane,cream,Midi dress by sister jane     Crack the dress codeAll-over diamond patternRound neckPuff sleeves    Elasticated cuffsButton-keyhole backSmock styleRegular fitTrue to size,166.2,Dream Sister Jane midi smock dress in cream textured jacquard
ASOS DESIGN,stone,Petite dress by ASOS DESIGN    Vacay vibesPlain designElasticated bandeau neckSide pocketsSplit detailRelaxed fitLoose cut,25.6,ASOS DESIGN Petite bandeau maxi sundress with pockets in stone
ASOS DESIGN,stone,Mini dress by ASOS DESIGN    Coming soon to your Saved Items    High neck    Batwing sleeves    Drop shoulders    Open backRegular fitTrue to size,16.2,ASOS DESIGN brushed rib batwing cut out back mini dress in stone
Brave Soul Plus,black,Plus-size dress by Brave Soul         Crack the dress codeLeopard print crew neckShort sleevesRegular fitTrue to size,13,Brave Soul Plus Dawn leopard contrast ringer T-shirt dress in black
ASOS Curve,polka dot,Plus-size dress by ASOS DESIGN          Crack the dress codeAll-over spot printSpread collarButton placketShort sleevesTie waistRegular fitTrue to size,38.4,ASOS DESIGN Curve midi button down shirt dress in black polka dot
